TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK
1610612765,Detroit Pistons,82,30,52,0.366,3976,0.495,0.279,0.144,0.317,0.526,0.306,0.156,0.319,1,24,24,24,6,17,26,6,9,30,18,10,26
1610612744,Golden State Warriors,82,36,46,0.439,3966,0.51,0.241,0.151,0.3,0.509,0.333,0.167,0.341,1,20,20,20,12,9,30,18,16,21,29,4,30
1610612745,Houston Rockets,82,43,39,0.524,3976,0.503,0.299,0.141,0.315,0.5,0.28,0.143,0.31,1,14,14,14,6,10,14,2,10,15,7,27,21
1610612754,Indiana Pacers,82,37,45,0.451,3956,0.486,0.3,0.16,0.297,0.487,0.315,0.145,0.297,1,19,19,19,20,23,12,26,18,7,23,22,13
1610612746,Los Angeles Clippers,82,32,50,0.39,3971,0.496,0.332,0.174,0.33,0.499,0.324,0.146,0.308,1,23,23,23,10,16,4,29,6,13,26,21,20
1610612747,Los Angeles Lakers,82,57,25,0.695,3966,0.502,0.293,0.141,0.325,0.477,0.236,0.147,0.308,1,4,4,4,12,11,16,3,7,5,1,17,19
1610612763,Memphis Grizzlies,82,46,36,0.561,3976,0.493,0.291,0.15,0.333,0.502,0.3,0.179,0.318,1,11,11,11,6,20,18,13,3,18,15,1,23
1610612748,Miami Heat,82,58,24,0.707,3956,0.524,0.363,0.151,0.287,0.475,0.299,0.143,0.285,1,3,3,3,20,4,3,15,20,3,14,25,5
1610612749,Milwaukee Bucks,82,35,47,0.427,3966,0.467,0.287,0.148,0.287,0.481,0.307,0.166,0.29,1,21,21,21,12,30,20,11,21,6,20,5,9
1610612750,Minnesota Timberwolves,82,17,65,0.207,3956,0.483,0.282,0.174,0.336,0.514,0.323,0.147,0.302,1,30,30,30,20,24,25,30,1,27,25,20,17
1610612751,New Jersey Nets,82,24,58,0.293,4001,0.474,0.283,0.152,0.304,0.503,0.32,0.134,0.3,1,25,25,25,1,27,23,19,15,19,24,30,15
1610612740,New Orleans Hornets,82,46,36,0.561,3966,0.493,0.296,0.145,0.289,0.501,0.286,0.161,0.279,1,11,11,11,12,19,15,7,19,17,8,7,2
1610612752,New York Knicks,82,42,40,0.512,3956,0.513,0.304,0.141,0.273,0.511,0.315,0.157,0.324,1,15,15,15,20,8,11,4,29,23,22,9,28
1610612760,Oklahoma City Thunder,82,55,27,0.671,4001,0.501,0.363,0.148,0.306,0.493,0.307,0.147,0.303,1,7,7,7,1,13,2,12,13,11,19,18,18
1610612753,Orlando Magic,82,52,30,0.634,3966,0.521,0.328,0.162,0.304,0.475,0.295,0.15,0.277,1,8,8,8,12,6,5,27,14,4,11,14,1
1610612755,Philadelphia 76ers,82,41,41,0.5,3986,0.494,0.273,0.138,0.278,0.487,0.299,0.152,0.286,1,16,16,16,4,18,28,1,24,8,13,13,6
1610612756,Phoenix Suns,82,40,42,0.488,4001,0.522,0.283,0.147,0.275,0.513,0.28,0.15,0.319,1,17,17,17,1,5,24,10,27,26,6,15,25
1610612757,Portland Trail Blazers,82,48,34,0.585,3961,0.486,0.278,0.145,0.331,0.51,0.301,0.175,0.318,1,10,10,10,18,22,27,8,5,22,16,2,24
1610612758,Sacramento Kings,82,24,58,0.293,3971,0.48,0.284,0.167,0.334,0.513,0.305,0.152,0.298,1,25,25,25,10,26,22,28,2,25,17,12,14
1610612759,San Antonio Spurs,82,61,21,0.744,3956,0.527,0.299,0.143,0.276,0.491,0.248,0.142,0.289,1,2,2,2,20,1,13,5,26,10,2,28,8
1610612761,Toronto Raptors,82,22,60,0.268,3956,0.491,0.293,0.156,0.314,0.522,0.326,0.148,0.315,1,28,28,28,20,21,17,22,12,28,27,16,22
1610612762,Utah Jazz,82,39,43,0.476,3976,0.498,0.313,0.154,0.314,0.505,0.354,0.157,0.321,1,18,18,18,6,15,7,21,11,20,30,8,27
1610612764,Washington Wizards,82,23,59,0.28,3986,0.471,0.29,0.16,0.317,0.512,0.327,0.164,0.329,1,27,27,27,4,29,19,24,8,24,28,6,29
